"year","month","nafo","gear.cat","source","catch","country","prov"
2022,6,"4T","LX","S52",0.15,"Canada","QC"
2022,7,"4S","PS","S52",2.268,"Canada","QC"
2022,7,"4T","LX","S52",0.396,"Canada","NB"
2022,7,"4T","LX","S52",0.977,"Canada","QC"
2022,7,"4W","LX","S52",0.691,"Canada","NS"
2022,7,"4X","LX","S52",0.048,"Canada","NS"
2022,8,"3K","GN","S52",0.9,"Canada","NL"
2022,8,"3K","PS","S52",0.3,"Canada","NL"
2022,8,"3L","GN","S52",0.3,"Canada","NL"
2022,8,"4R","GN","S52",0.9,"Canada","NL"
2022,8,"4R","LX","S52",0.6,"Canada","NL"
2022,8,"4T","LX","S52",0.014,"Canada","NB"
2022,8,"4T","LX","S52",1.5,"Canada","QC"
2022,8,"4W","LX","S52",0.661,"Canada","NS"
2022,8,"4X","LX","S52",0.308,"Canada","NS"
2022,9,"3K","GN","S52",1.2,"Canada","NL"
2022,9,"3K","LX","S52",0.6,"Canada","NL"
2022,9,"3L","GN","S52",0.3,"Canada","NL"
2022,9,"4R","GN","S52",0.6,"Canada","NL"
2022,9,"4R","LX","S52",0.9,"Canada","NL"
2022,9,"4T","LX","S52",0.918,"Canada","QC"
2022,9,"4W","LX","S52",0.3,"Canada","NS"
2022,9,"4X","LX","S52",0.387,"Canada","NS"
2022,10,"3K","GN","S52",1.2,"Canada","NL"
2022,10,"3L","GN","S52",0.3,"Canada","NL"
2022,10,"4R","GN","S52",0.9,"Canada","NL"
2022,10,"4W","LX","S52",0.3,"Canada","NS"
2022,10,"4X","LX","S52",0.145,"Canada","NS"
2022,11,"3K","GN","S52",0.6,"Canada","NL"
2022,11,"4W","LX","S52",0.3,"Canada","NS"
2022,11,"4X","LX","S52",0.362,"Canada","NS"
2023,6,"4T","GND","S52",0.6,"Canada","PEI"
2023,6,"4T","LX","S52",0.3,"Canada","NB"
2023,6,"4T","LX","S52",0.662,"Canada","PEI"
2023,6,"4W","GND","S52",0.082,"Canada","NS"
2023,6,"4W","LX","S52",0.272,"Canada","NS"
2023,6,"4X","LX","S52",0.764,"Canada","NS"
2023,7,"4R","LX","S52",1.179,"Canada","NL"
2023,7,"4T","LX","S52",0.9,"Canada","NB"
2023,7,"4T","LX","S52",1.8,"Canada","PEI"
2023,7,"4T","LX","S52",0.9,"Canada","QC"
2023,7,"4W","LX","S52",0.735,"Canada","NS"
2023,7,"4X","LX","S52",1.462,"Canada","NS"
2023,8,"4R","LX","S52",2.235,"Canada","NL"
2023,8,"4T","LX","S52",0.493,"Canada","NB"
2023,8,"4T","LX","S52",0.6,"Canada","PEI"
2023,8,"4T","LX","S52",0.6,"Canada","QC"
2023,8,"4W","LX","S52",0.435,"Canada","NS"
2023,8,"4X","LX","S52",0.267,"Canada","NS"
2023,9,"3K","GND","S52",1.778,"Canada","NL"
2023,9,"4R","LX","S52",0.613,"Canada","NL"
2023,9,"4T","LX","S52",0.036,"Canada","NB"
2023,9,"4T","LX","S52",0.3,"Canada","PEI"
2023,9,"4T","LX","S52",0.35,"Canada","QC"
2023,9,"4W","LX","S52",0.599,"Canada","NS"
2023,9,"4X","LX","S52",0.285,"Canada","NS"
2023,10,"3K","GND","S52",1.164,"Canada","NL"
2023,10,"4T","LX","S52",0.3,"Canada","QC"
2023,10,"4W","LX","S52",0.599,"Canada","NS"
2023,10,"4X","LX","S52",0.291,"Canada","NS"
2023,11,"3L","GND","S52",0.6,"Canada","NL"
2023,11,"4W","LX","S52",0.39,"Canada","NS"
2023,11,"4X","LX","S52",0.562,"Canada","NS"
2023,12,"3L","GND","S52",0.6,"Canada","NL"
2024,5,"4W","GN","S52",0.34,"Canada","NS"
2024,6,"4R","GND","S52",0.6,"Canada","NL"
2024,6,"4T","GND","S52",0.416,"Canada","PEI"
2024,6,"4T","GNS","S52",0.13,"Canada","QC"
2024,6,"4T","LX","S52",0.466,"Canada","PEI"
2024,6,"4T","LX","S52",0.38,"Canada","QC"
2024,6,"4X","LX","S52",0.827,"Canada","NS"
2024,7,"3K","GND","S52",0.073,"Canada","NL"
2024,7,"4R","GND","S52",0.4,"Canada","NL"
2024,7,"4T","LX","S52",0.227,"Canada","NB"
2024,7,"4T","LX","S52",1.695,"Canada","PEI"
2024,7,"4T","LX","S52",0.713,"Canada","QC"
2024,7,"4W","LX","S52",0.872,"Canada","NS"
2024,7,"4X","LX","S52",0.99,"Canada","NS"
2024,8,"3K","GND","S52",0.073,"Canada","NL"
2024,8,"3L","GND","S52",0.3,"Canada","NL"
2024,8,"4R","GND","S52",0.136,"Canada","NL"
2024,8,"4R","LX","S52",0.622,"Canada","NL"
2024,8,"4T","LX","S52",0.102,"Canada","NB"
2024,8,"4T","LX","S52",0.3,"Canada","PEI"
2024,8,"4T","LX","S52",0.185,"Canada","QC"
2024,8,"4W","LX","S52",0.436,"Canada","NS"
2024,8,"4X","LX","S52",0.293,"Canada","NS"
2024,8,"4X","PS","S52",0.3,"Canada","NS"
2024,9,"3K","GN","S52",0.082,"Canada","NL"
2024,9,"3L","GND","S52",0.3,"Canada","NL"
2024,9,"4R","LX","S52",0.636,"Canada","NL"
2024,9,"4T","LX","S52",0.122,"Canada","NB"
2024,9,"4T","LX","S52",0.272,"Canada","PEI"
2024,9,"4W","LX","S52",0.6,"Canada","NS"
2024,9,"4X","LX","S52",0.3,"Canada","NS"
2024,10,"4R","LX","S52",0.443,"Canada","NL"
2024,10,"4T","LX","S52",0.25,"Canada","PEI"
2024,10,"4T","LX","S52",0.3,"Canada","QC"
2024,10,"4W","LX","S52",0.413,"Canada","NS"
2024,10,"4X","LX","S52",0.06,"Canada","NS"
2024,11,"4R","LX","S52",0.416,"Canada","NL"
